time,Answer Type,field,hand,Correctness
0.0134539,1,1,35,OK
0.0202524,1,2,56,Out
0.0274567,1,3,8,Out
0.0404959,1,0,56,OK
0.0482323,1,0,54,OK
0.0553693,1,2,58,OK
0.0642551,1,2,50,OK
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0085021,2,0,39,OK
0.0157641,2,2,1,OK
0.0235971,2,1,48,OK
0.0303393,2,3,13,OK
0.0376654,2,1,31,OK
0.0465592,1,3,59,OK
time,Answer Type,field,hand,Correctness
0.0083979,1,0,32,Out
0.0121928,1,1,13,Out
0.0194756,1,1,4,OK
time,Answer Type,field,hand,Correctness
0.0055468,2,0,11,OK
0.0130435,2,1,52,OK
0.020644,2,2,33,Out
0.0272446,2,2,31,OK
0.0351277,2,1,16,Out
0.0423597,2,1,29,Out
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0054334,3,3,56,Out
0.0118438,3,0,42,Out
0.0177441,3,2,12,OK
0.0241604,3,1,9,Out
0.0308781,3,1,48,Out
0.0366888,3,0,12,OK
0.0408696,3,0,34,Out
0.0481152,3,0,23,OK
0.0548009,3,1,7,OK
0.0621812,3,1,40,OK
0.069567,3,3,52,Out
0.0764098,3,0,41,Out
0.084346,3,1,47,Out
time,Answer Type,field,hand,Correctness
0.0075793,3,0,62,Out
0.018116,3,3,7,OK
0.0245966,3,1,11,OK
0.0317937,3,2,48,OK
0.0361587,3,0,63,OK
time,Answer Type,field,hand,Correctness
0.0060847,3,0,35,Out
0.013126,3,0,48,OK
0.0207534,3,0,62,OK
0.0249699,3,3,54,OK
0.0326203,3,2,2,Out
0.0389809,3,0,8,OK
0.0459038,3,1,51,Out
0.0529733,3,1,29,Out
0.0596283,3,1,56,Out
0.0668464,3,1,11,Out
0.0736436,3,1,0,Out
time,Answer Type,field,hand,Correctness
0.0060364,3,0,4,Out
0.0128079,3,1,15,OK
0.016952,3,3,20,OK
0.021758,3,1,30,OK
time,Answer Type,field,hand,Correctness
0.0054898,1,0,32,OK
0.0118697,1,0,46,OK
0.0184799,1,1,60,Out
0.025217,1,1,18,Out
0.0319535,1,1,36,Out
0.0362807,1,3,6,Out
0.0427311,1,2,11,OK
time,Answer Type,field,hand,Correctness
0.0079049,2,0,22,OK
0.0141877,2,0,38,OK
time,Answer Type,field,hand,Correctness
0.0060205,3,2,38,OK
0.0132151,3,1,62,OK
0.0194985,3,3,16,OK
time,Answer Type,field,hand,Correctness
0.0058004,2,1,40,OK
0.0122789,2,2,54,OK
time,Answer Type,field,hand,Correctness
0.0057342,2,2,1,OK
0.0108716,2,1,48,OK
0.0159504,2,3,22,OK
0.0209262,2,0,23,OK
0.0302723,2,0,41,OK
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0068149,1,2,4,Out
0.0129865,1,1,25,Out
0.0170594,1,2,53,Out
0.021109,1,3,39,Out
0.0247086,1,1,54,Out
0.0309835,1,2,10,OK
0.0373802,1,2,23,OK
0.0445704,1,3,7,OK
time,Answer Type,field,hand,Correctness
0.007797,1,0,27,OK
0.0144348,1,3,0,OK
0.0189098,1,0,14,OK
time,Answer Type,field,hand,Correctness
0.005374,3,0,28,Out
0.0115931,3,3,21,OK
0.0160716,3,1,40,OK
0.0232777,3,2,5,OK
0.0307618,3,0,62,Out
0.0375458,3,0,19,Out
0.0440677,3,0,45,OK
0.0514308,3,1,63,Out
0.0593412,3,1,22,Out
0.0669522,3,1,59,OK
0.0743545,3,1,40,Out
0.085185,3,1,20,Out
0.092529,3,1,0,OK
time,Answer Type,field,hand,Correctness
0.0058688,2,0,57,OK
0.0104655,2,1,22,Out
0.0142259,2,1,56,Out
0.0206173,2,3,44,OK
0.0245467,2,2,28,OK
0.0293777,2,0,30,OK
0.0355708,2,0,6,OK
0.0425414,2,1,60,OK
0.0514162,1,0,14,OK
0.0598379,1,0,48,Out
0.06801961,1,0,26,OK
0.07726621,1,0,44,Out
0.08513881,1,0,2,OK
0.09447721,1,1,55,Out
0.09958071,1,2,61,Out
0.1071093,1,0,57,Out
0.114746,1,2,38,Out
0.1220238,1,0,54,Out
0.1286349,1,3,31,Out
time,Answer Type,field,hand,Correctness
0.0061087,3,1,28,Out
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0057167,1,1,39,OK
0.0104615,1,2,12,Out
0.014806,1,0,45,OK
0.018604,1,3,26,Out
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0056976,2,0,55,Out
0.0100008,2,1,4,Out
0.0141289,2,0,43,Out
0.0179588,2,3,25,Out
time,Answer Type,field,hand,Correctness
0.0056305,1,0,6,OK
0.0097853,1,1,38,Out
0.015805,1,2,57,OK
time,Answer Type,field,hand,Correctness
0.0059349,3,3,62,Out
0.0118235,3,2,29,Out
time,Answer Type,field,hand,Correctness
0.0058473,3,0,22,Out
0.0095526,3,1,14,OK
0.0144957,3,3,37,OK
time,Answer Type,field,hand,Correctness
0.0058081,1,0,26,OK
0.0102762,1,2,53,OK
time,Answer Type,field,hand,Correctness
0.0055253,3,0,12,Out
0.0095933,3,1,41,Out
0.0137201,3,2,7,OK
0.0178803,3,2,39,Out
time,Answer Type,field,hand,Correctness
0.0058721,1,1,4,OK
0.0105415,1,1,4,Out
time,Answer Type,field,hand,Correctness
0.006054,2,0,2,OK
time,Answer Type,field,hand,Correctness
0.0060181,1,3,40,Out
0.0099585,1,2,0,Out
0.0144026,1,0,31,OK
0.0185681,1,0,56,Out
0.0223465,1,1,48,Out
0.0260173,1,0,34,OK
0.0301846,1,2,58,OK
0.035045,1,2,43,OK
0.0400272,1,0,9,Out
time,Answer Type,field,hand,Correctness
0.0263092,2,1,4,OK
0.0305639,2,1,48,OK
0.0364243,2,0,62,Out
0.0407517,2,1,47,Out
0.0445354,2,3,10,Out
0.0493581,2,1,41,OK
0.05349191,2,2,35,OK
0.05830761,2,2,19,OK
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0056906,2,2,39,Out
0.0096143,2,3,26,Out
0.0137684,2,0,55,OK
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
0.0056575,1,0,0,Out
0.0097817,1,1,4,Out
0.0149425,1,2,42,Out
time,Answer Type,field,hand,Correctness
0.0044011,1,0,55,Out
0.0088974,1,3,8,OK
0.0140756,1,1,17,Out
0.0184054,1,0,26,Out
0.0229989,1,2,42,OK
0.0273762,1,2,37,OK
0.0325807,1,1,14,OK
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
time,Answer Type,field,hand,Correctness
